,dayreturn,price,volumeratio,priorvol,yrHi,yrLo,qHi,qLo,mHi,mLo,VixOpen,Gap,VixDelta,3MoMom,3MoFear,MktBeat
1950,0.07563216554875507,45.509997999999996,1.4887333263678473,0.02092353818920448,0.637573548791267,1.1059537251055296,0.6575639164508584,1.1059537251055296,0.9418459850993377,1.1059537251055296,13.25,0.004174972716984193,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1952,0.12682926829268304,1.848,3.359506961880849,0.03894256878348135,0.26821480406386067,1.329496402877698,0.7310126582278481,1.329496402877698,0.924,1.126829268292683,13.25,0.014610389610389518,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1953,0.19373219373219386,8.38,3.92347801578354,0.04616970337123512,1.0,3.2734375000000004,1.0,1.7605042016806725,1.0,1.6053639846743297,13.25,0.02028639618138417,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1958,0.08112324492979717,6.93,1.4758107439547377,0.0469147049328919,0.6861386138613861,2.475,0.7524429967426709,1.18259385665529,0.9506172839506173,1.18259385665529,13.25,0.018759018759018753,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1959,0.0830882352941178,14.73,1.301259374557804,0.023930232163549277,0.5995115995115995,1.193679092382496,0.7860192102454643,1.193679092382496,1.0,1.140092879256966,13.25,0.0006788866259335169,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1960,0.08521739130434791,6.24,0.48020472678006926,0.06404223881693388,0.5016077170418006,3.6923076923076925,0.5016077170418006,1.2530120481927711,0.8320000000000001,1.1598513011152416,13.25,0.028846153846153744,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1961,0.1272189349112427,3.81,3.880338709677419,0.03248707633257469,0.3417040358744395,1.548780487804878,0.8839907192575407,1.278523489932886,1.0,1.278523489932886,13.25,0.01049868766404205,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1962,0.08641975308641991,8.8,1.0247320692497939,0.03508705287725093,0.6811145510835914,1.4426229508196724,0.8853118712273643,1.2154696132596685,1.0,1.2154696132596685,13.25,0.001136363636363713,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1963,0.080438756855576,5.91,1.0908703071672354,0.028696298202118043,0.46171875,1.3712296983758703,0.8873873873873874,1.3133333333333335,1.0,1.2737068965517242,13.25,0.0033840947546530664,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1964,0.0843881856540083,2.57,0.7343089886329155,0.06264923204092254,0.30128956623681125,1.229665071770335,0.5908045977011495,1.229665071770335,0.7835365853658537,1.229665071770335,13.25,0.01945525291828809,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1965,0.09427609427609429,19.5,1.8863936591809776,0.023533663657601584,0.9325681492109039,2.1264994547437297,0.9325681492109039,1.2295081967213115,0.9456837562713988,1.1450381007024015,13.25,0.022564153846154067,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1966,0.23170731707317072,4.04,5.802001622937517,0.038642107695242,0.6167938931297711,1.4852941176470587,0.9417249417249417,1.4852941176470587,1.0,1.4852941176470587,13.25,0.02970297029702973,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1967,0.07766990291262132,2.22,0.771966231193699,0.045636235014272865,0.46443514644351463,1.9137931034482762,0.8638132295719846,1.3214285714285716,0.9694323144104804,1.1871657754010696,13.25,0.0045045045045044585,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1968,0.08992666923967563,28.24,0.5704743450383604,0.07327383918208019,0.4168881138732835,3.955182072829132,0.8942368587713743,2.1491628614916283,0.9410196601132955,1.3327040428171757,13.25,0.009206798866855603,0.0037878787878788955,0.022987107867350254,0.040427466929253364,1
1969,0.1707317073170731,7.68,2.830965911697406,0.06349118274448043,0.585812356979405,2.4615384615384612,0.735632183908046,1.2951096121416525,0.7876923076923077,1.2951096121416525,13.25,0.0,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1971,0.18826563507414562,18.43,8.52732136724328,0.03160272585765963,0.5841521579762966,1.8265609514370664,1.0,1.3136136849607982,1.0,1.3136136849607982,13.25,0.013022246337493382,0.0037878787878788955,0.022987107867350254,0.040427466929253364,0
1973,0.11949685534591192,1.78,4.054696789536266,0.10276292529566561,0.29421487603305785,1.119496855345912,0.37473684210526315,1.119496855345912,0.5650793650793651,1.119496855345912,12.93,-0.0393258426966292,-0.045051698670605544,0.019611878598015275,0.03513927516036608,0
1974,0.22623574144486702,19.35,3.0592742527664085,0.10121922094327601,0.7771084337349399,2.7682403433476397,0.7771084337349399,1.6988586479367866,0.7771084337349399,1.3344827586206898,12.93,-0.0041343669250647475,-0.045051698670605544,0.019611878598015275,0.03513927516036608,1
1977,0.09999999999999987,0.22,8.786786786786786,0.042029760083042426,0.16541340946360192,1.4666666666666668,0.8148148148148148,1.2222222222222223,0.8461538461538461,1.1578947368421053,12.93,0.045454545454545414,-0.045051698670605544,0.019611878598015275,0.03513927516036608,1
1979,-0.12258663430626315,28.629998999999998,3.590963324168698,0.02608299579526392,0.8219924592596922,1.9489447923757657,0.8219924592596922,1.4307845577211393,0.8219924592596922,1.0,12.93,0.006985714529714082,-0.045051698670605544,0.019611878598015275,0.03513927516036608,0
1980,0.07770700636942696,8.46,0.8580284115368059,0.08245494435098932,0.6583657587548639,2.685714285714286,0.9559322033898306,1.7885835095137421,0.9559322033898306,1.173370319001387,12.93,0.004728132387706863,-0.045051698670605544,0.019611878598015275,0.03513927516036608,1
1986,-0.07500000000000007,2.96,0.7952860766340358,0.06988645279285417,0.15265601612460114,1.0,0.3172561629153269,1.0,0.5838264299802761,1.0,12.93,0.01013513513513531,-0.045051698670605544,0.019611878598015275,0.03513927516036608,0
1987,0.1012298959318827,11.64,1.31096658174734,0.03414091237622809,0.4161601864912473,1.564516129032258,0.9122257053291537,1.1769464105156724,1.0,1.1757575757575758,12.93,0.01632302405498276,-0.045051698670605544,0.019611878598015275,0.03513927516036608,0
1988,0.08766233766233755,2.01,5.6932189542483655,0.038837464563506494,0.29172714078374457,1.4460431654676258,0.7950949367088607,1.4460431654676258,1.0,1.225609756097561,12.93,0.020895522388059806,-0.045051698670605544,0.019611878598015275,0.03513927516036608,1
1991,-0.12462006079027355,2.88,1.2455852903695612,0.07183552943676302,0.768,1.5999999999999999,0.8470588235294118,1.5999999999999999,0.8753799392097265,1.3714285714285712,12.93,-0.05208333333333326,-0.045051698670605544,0.019611878598015275,0.03513927516036608,1
1993,-0.1079136690647482,2.48,1.7870625662778368,0.056332283210304465,0.4950099800399202,1.0,0.6358974358974359,1.0,0.7146974063400576,1.0,12.93,0.0,-0.045051698670605544,0.019611878598015275,0.03513927516036608,1
1995,0.11061946902654873,2.51,7.745838594880037,0.033186892439033874,0.6121951219512195,1.4852071005917158,0.7191977077363896,1.1513761467889907,1.0,1.1513761467889907,12.93,-0.701195219123506,-0.045051698670605544,0.019611878598015275,0.03513927516036608,0
1996,0.2735192377188873,21.93,5.256952111952754,0.04544745454584151,0.5854244683775887,1.7488038277511964,0.9865047233468286,1.5520169851380041,1.0,1.5520169851380041,12.93,-0.04331965344277244,-0.045051698670605544,0.019611878598015275,0.03513927516036608,0
1998,-0.09599999999999997,5.65,2.318918918918919,0.045590981306214716,0.6750298685782558,2.250996015936255,0.904,1.2555555555555555,0.904,1.2309368191721135,12.93,0.014159292035398341,-0.045051698670605544,0.019611878598015275,0.03513927516036608,1
2000,0.08330624796615704,33.290001000000004,4.231396383041803,0.02708517383284547,0.876744801771272,1.3587755510204083,0.8948924759437508,1.1023178774066928,0.9901844732357072,1.1023178774066928,12.93,0.011414748831037658,-0.045051698670605544,0.019611878598015275,0.03513927516036608,1
2001,0.19480519480519476,1.84,3.2451538421775115,0.022106802306816956,0.4919786096256684,1.2105263157894737,0.5272206303724928,1.2105263157894737,0.8679245283018868,1.2105263157894737,12.93,0.0380434782608694,-0.045051698670605544,0.019611878598015275,0.03513927516036608,1
2002,-0.11921219353102319,25.49,2.227402135231317,0.014708895226309762,0.8579603116109159,1.8026874115983025,0.8579603116109159,1.3936576602702209,0.8579603116109159,1.0,12.93,-0.0023538642604942206,-0.045051698670605544,0.019611878598015275,0.03513927516036608,1
2003,0.07561553784381836,18.35,0.8558451161176417,0.04024439267539769,0.48803194085276286,2.694566813509545,1.0,1.6727438468550593,1.0,1.5065681444991792,12.93,0.003269754768392197,-0.045051698670605544,0.019611878598015275,0.03513927516036608,0
2004,0.10567010309278357,4.29,4.472759486195187,0.02581838803197827,0.6509863429438544,1.21875,0.8649193548387097,1.21875,1.0,1.21875,12.93,0.002331002331002363,-0.045051698670605544,0.019611878598015275,0.03513927516036608,0
2006,0.08031541586942659,36.990002000000004,2.1623116009037435,0.026798580466629324,0.567331345122608,1.1534144683504834,0.5822446494922817,1.1534144683504834,0.9421804351594721,1.1534144683504834,13.32,0.0186536351092923,-0.01697416974169741,0.007226930512165719,-0.0015809516316432903,0
2007,0.15168539325842678,2.05,2.894359775954149,0.10256426006509652,0.33884297520661155,1.2893081761006286,0.431578947368421,1.2893081761006286,0.6507936507936507,1.2893081761006286,13.32,-0.19999999999999996,-0.01697416974169741,0.007226930512165719,-0.0015809516316432903,0
2008,0.11065573770491799,8.13,2.3603144253239856,0.03443707995346652,0.7088055797733217,1.38265306122449,1.0,1.38265306122449,1.0,1.38265306122449,13.32,-0.014760147601476148,-0.01697416974169741,0.007226930512165719,-0.0015809516316432903,0
2012,0.21834786218347868,29.35,5.1875696087359415,0.038076664812145326,0.5595805422386932,1.5678419640941224,0.8376141313466287,1.5678419640941224,1.0,1.406324800846919,13.32,0.0,-0.01697416974169741,0.007226930512165719,-0.0015809516316432903,0
2017,0.09343936381709739,5.5,0.6946648001244362,0.03506698009688812,0.8792965627498002,2.0370370370370368,1.0,2.0370370370370368,1.0,1.338199513381995,13.32,0.009090909090909038,-0.01697416974169741,0.007226930512165719,-0.0015809516316432903,1
2022,0.10240963855421703,1.83,1.5008844203923013,0.053648766890060866,0.1888544891640867,2.9047619047619047,0.5027472527472527,1.5250000000000001,0.8169642857142857,1.1296296296296295,13.32,-0.005464480874316946,-0.01697416974169741,0.007226930512165719,-0.0015809516316432903,1
