USID,MarketCapitalization,PriceToBook,Beta
81756,2.0029,-0.2078,0.0
47273,339.3649,3.7178,1.9364
45085,27.928,3.4331,0.8678
38677,173.6388,10.0727,1.2274
32819,380.0934,4.5326,1.1274
26776,17.2034,22.1019,0.0
141593,148.5229,3.2768,-2.468
136624,658.1754,9.8528,0.0
124077,491.5883,3.2009,0.0
123748,365.1644,3.7133,2.7428
116682,129.8601,4.1462,0.9774
106655,487.014,36.6229,0.7547
106652,355.76199999999994,31.0953,0.6498
103092,124.5243,2.1799,0.3455
88158,356.0447,13.3151,1.8684
57372,932.7663,26.4472,0.969
41204,344.6152,2.8338,1.181
30636,29.2344,0.5244,0.9944
5074,50.6789,4.4793,0.7097
62109,38.9912,3.8755,1.091
55589,51.9501,0.571,0.2142
32846,113.696,2.5895,1.33
103280,2032.6353,7.523,1.1852
97459,49.4943,3.3363,0.0
74328,849.5458,9.6324,0.7941
73957,11044.82,-359.6344,1.1716
68764,45.8587,-27.0372,1.6365
49172,483.1675,-27.0351,0.8658
29045,254.5209,14.0071,1.341
22872,460.3564,4.8257,1.6503
152449,159.1413,2.4848,2.2711
151536,188.854,-1.101,0.5138
144118,95.9263,1.5817,1.1003
143431,816.8732,3.058,1.0208
140348,29.6989,3.1259,0.2131
139968,3.8409,0.1705,0.2265
45649,95.0544,3.2714,1.4393
44549,124.6657,-3.981,1.0876
39689,145.9394,0.4092,1.8928
147348,79.4716,0.9207,1.1613
146197,17.0132,-2.2292,0.1233
139934,8.7969,0.1443,-0.0315
122294,145165.8933,100.203,1.852
116006,1405.2012,981.4308,0.6963
103206,70.2208,1.9238,0.6939
102123,45.6844,12.9929,-0.5572
26869,27.8704,2.4537,-0.1796
137345,110.3808,4.1952,1.2216
113073,323.228,-2.8149,1.5817
105753,697.3964,14.8496,1.9143
105417,8.4394,-5.1871,0.7404
102650,1108.5726,62.1802,2.1746
80096,30.9304,1.5545,0.5806
68779,87.7257,12.7654,1.3469
103623,76.8026,1.2845,0.545
100292,27.8067,1.8505,0.9622
93172,51.0425,1.3791,1.3661
81824,252.4467,5.4755,0.5653
26839,22.3343,2.5943,-0.0009
19186,215.6679,1.6767,1.3432
26838,29.9081,3.474,-0.0779
12695,16.1781,1.5872,1.4706
42,2430.9223,1.259,0.729
96633,12.2201,0.9803,0.2521
56916,35.9705,0.6445,0.5183
55593,46.5706,0.5119,0.2116
42223,9.9261,0.6582,0.7341
32853,218.8648,5.6314,1.402
26834,15.9531,1.853,-0.0237
162844,55.2018,2.8348,-0.9028
157717,27.2901,-1.0352,-0.0912
157289,315.5499,20.7153,0.2167
136647,862.2208,8.9122,1.3039
132937,166.3324,-30.8303,0.5679
128694,1477.7192,75.2291,1.5525
116662,126.4358,2.0493,1.671
116684,119.8905,3.8279,0.9404
107222,111.5837,0.392,0.7913
103094,14.7595,0.336,0.2401
102111,40.6875,21.8505,-1.4911
99127,122.8308,2.266,0.0
95664,19.4941,2.1056,0.1898
83228,2817.6991,7.7711,0.6918
149211,703.3055,128.992,2.3504
145066,401.6073,0.8177,1.3578
139256,173.2921,1.6168,1.1477
121376,230.6493,3.1859,1.5292
120596,437.5588,2.8082,0.923
119096,812.8822,6.311,0.8314
58627,19.2639,1.3065,0.7635
55542,29.8529,0.3501,0.6223
54585,217.2559,2.1639,1.9659
49139,36.9574,5.3064,0.9911
32666,131.2603,5.7492,1.8671
135198,57.5398,8.8427,1.0965
122495,97.7841,1.7589,1.3988
107190,86.6407,0.7469,0.9497
103085,233.483,2.9577,0.3127
86748,330.4569,0.4374,1.8607
83573,4.1728,0.179,0.1438
81561,20.1399,0.4446,0.3325
73942,9014.039,-61.4011,1.1655
145977,28.1706,0.8387,1.1353
144173,59.8491,1.8239,1.2339
140278,52.3669,0.5144,1.4319
139186,141.2472,1.9109,1.1453
136378,494.4297,15.9247,1.0408
133476,50.9483,3.6993,0.4017
129785,1145.6261,27.3077,2.0264
128745,29.5985,6.8216,1.3255
86349,10.7132,6.8441,0.4632
84965,60.9314,182.9376,1.3171
83716,6.9969,0.3531,0.4618
71924,17.2263,13.1321,1.0629
60880,440.5063,0.6687,1.5325
58745,14.2489,4.2751,0.5699
11421,7.795,0.7644,0.0689
2946,505.4503,2.0711,0.1662
2489,34.8167,2.9573,0.5365
83768,107.4136,1.5979,0.9179
65800,476.4921,14.295,0.8095
62868,17.2695,1.0768,-0.1336
58743,19.353,5.8065,0.5368
46480,23.1683,1.1497,1.1996
38811,15.4524,1.9015,0.7761
3849,32.4626,0.548,0.6534
119849,120.7928,-73.387,0.7232
107251,28.4751,-0.1865,0.0
105806,230.4465,4.3548,1.1843
