USID,MarketCapitalization,PriceToBook,Beta
226076,70.8534,-2.4524,-3.0892
226152,31.2556,7.6176,0.8239
226169,17.9939,0.0647,0.8195
226198,40.9875,4.6784,0.7401
226203,216.0519,2.4676,1.5795
226236,26.6592,-8.5218,0.538
226239,31.3119,1.6801,1.1408
226246,684.0663,2.5963,0.8358
226302,112.9021,4.373,0.6811
226316,111.6239,-72.1104,1.4914
226319,293.2567,0.9433,2.4684
226370,30.5435,1.1442,1.3611
226384,14.3577,0.8128,0.2335
226397,453.019,-4.2531,1.734
226474,43.9657,-29.7667,0.0
226529,162.8832,1.8887,0.4751
226547,1.7757,0.0649,0.7624
226562,6.8758,-8.7474,0.8038
226579,749.6749,-7.7868,-3.7589
226666,11.5976,-6.4683,0.0
226691,0.1659,0.037,0.0
226718,1192.959,6.8946,1.2752
226729,1119.2103,27.0476,1.5449
226749,1736.9023,6.4455,0.631
226750,2592.5778,-713.4484,0.9278
226760,131.0819,2.7927,0.6969
226788,61.3413,3.691,0.4513
226792,7.3518,12.5286,0.0349
226806,45.6366,1.2605,0.2827
226882,47.2369,2.6255,1.6145
226930,582.6109,2.1562,1.7045
226949,193.2146,1.7371,1.829
226952,349.8866,6.1394,0.5306
226968,19.0476,5.475,1.8971
226977,561.6639,1.71,1.0145
226993,34.6233,-1.0425,0.0
227028,61.7297,3.5684,1.0679
227042,595.6989,0.6093,1.2065
227078,258.0041,1.3635,0.7039
227132,74.9582,0.7461,1.0414
227189,304.4994,1.3934,1.012
227192,2472.2871,4.4129,1.7595
227197,108.4512,0.2985,1.4316
227222,1676.0213,2.4513,1.014
227255,166.0499,-0.1982,2.2727
227268,387.2984,8.1123,2.0168
227310,193.6033,-0.2301,1.7658
227326,119.2125,3.6164,1.0205
227393,24.2655,0.0933,1.4305
225976,33.5012,0.8419,0.0
226010,24.0739,2.3557,0.041
226037,72.3812,2.5544,0.6815
226063,74.8854,-0.8914,1.8075
226079,349.3765,3.8486,2.9647
226126,19.5498,0.2364,0.0054
226129,10.4103,0.9479,0.6237
226136,74.2759,2.2388,0.2929
226137,615.6684,1.2558,1.2592
226153,26.4918,6.4565,0.8338
226186,17.5612,3.3475,0.0
226199,37.4233,4.2715,0.7516
226250,40.8636,0.7026,0.0
226257,381.538,-16.5684,1.7847
226283,34.6137,1.8367,0.9893
226346,124.6102,16.6727,0.9073
226357,9.3049,0.0935,1.4258
226401,505.0865,4.8865,0.8011
226426,9.2815,0.091,0.0
226439,94.5655,0.6627,0.5893
226499,2491.475,13.9618,1.0711
226530,181.004,2.0988,0.4707
226548,1.4403,0.0527,0.7503
226577,160.1426,3.5164,1.3221
226593,410.636,1.4505,0.8843
226611,2890.2581,9.4509,1.3753
226618,94.4858,3.4714,-1.8858
226652,242.0957,1.636,0.8802
226667,8.8508,-4.9363,0.0
