USID,n3r,n5r,ndr,ndv
177316,0.05139182,0.083511734,0.006465474,57000
183227,-0.013850416,-0.052631526,0.011204426,324700
173729,0,0,-0.026666667,230400
41388,-0.008333333,-0.046428571,0.010830325,5211100
204478,-0.033790919,-0.067581837,0.022678186,3841300
144181,0,-0.102222222,-0.094567404,531400
142629,0.131636364,0.098909091,0.036171816,5178000
140617,-0.011862194,0.01707739,0.015050914,2354100
161119,-0.1,-0.14,0.041666667,510700
223398,-0.02216744,-0.029556553,0.020100452,82400
109160,-0.046969697,-0.056060606,-0.026548673,223900
85,0.005518653,-0.040287084,0.000552181,445500
58057,-0.028486395,0.012755102,0.01862278,115600
219521,0.093696763,0.105621806,-0.015100671,4186300
182257,0.016085845,0.101876622,0.013586957,872200
88716,-0.01010101,-0.080808081,-0.01980198,91700
185924,0.049295775,0.007042254,0.059701493,2507300
86092,-0.033997718,-0.039864966,-0.032579138,754700
27694,0.017605634,0.021126761,-0.120743034,1461900
84,-0.002761016,0.001104252,-0.193677569,3494500
19566,0.005434783,-0.010869565,0.045454545,637000
32224,0.178535607,0.199598796,0.06631016,134300
190958,-0.001213653,-0.013956311,-0.00362763,162900
219520,0.086409396,0.088087248,0.098617512,7462100
58056,-0.006496275,0.008661802,-0.08518225,261500
204659,0.001522192,-0.01065443,0.04617828,2923200
210903,-0.008272059,0.067095588,0.036190476,582600
220775,-0.021052632,-0.031578947,-0.005235602,195500
157117,0.016666667,0.016666667,-0.076923077,517800
128412,-0.033290628,-0.074263689,0.002567343,300600
46932,0.014606341,0.028856395,0.015924756,493000
175590,0.030782472,0.049166398,0.035413856,1481500
108325,0.153533069,0.110617791,-0.00625,468800
197976,-0.037967862,-0.03957214,-0.011105271,62000
166386,-0.009276438,0.005565863,-0.003696858,2231700
185343,-0.005363783,0.018889878,0.001635132,499800
208929,-0.046728972,-0.009345794,-0.044642857,658700
63662,-0.081466395,-0.033604888,-0.003045685,183400
171592,-0.040784768,-0.053175062,-0.004624769,304100
168749,-0.009088497,-0.017657648,0.007587572,1187100
115743,-0.061611374,-0.033175355,0.004761905,377700
2565,-0.07035603,-0.025311026,0,351600
223392,0.010821768,0.049261673,0.005440281,1237400
164559,0.014591472,0.028210084,0.013140571,911400
151769,-0.180952381,-0.116190476,0.003824092,197500
103130,0.083431316,0.210340776,0.252391464,193300
102886,0.025641026,0.117216117,0.014869888,232100
64726,-0.048979592,-0.032653061,-0.016064257,88500
134770,0.024363234,0.009966777,0.002219756,121200
60977,-0.0125,0.024107143,0.00810081,141800
119176,0.044834308,0.054580897,-0.039325843,1586600
172844,-0.033333333,0.05,-0.016393443,206900
128410,0.164075987,0.170984485,-0.039800962,85400
199246,-0.01327538,-0.015447719,-0.01380619,10338800
138530,0.008928571,-0.006138449,0.000558347,106900
199278,-0.006726413,-0.002242108,0.009049729,275500
183606,-0.005555556,-0.025,0.015992474,819900
58757,-0.012944984,0,-0.046296296,261600
197998,0.003597122,0.007194245,-0.078707539,29800
46604,0.165250965,0.194594595,0.021293375,965600
163262,0.018050542,0.061371841,0.069498069,351700
39967,0.035608368,0.03264095,-0.020348894,201300
185309,0.030490404,0.025586268,-0.016359018,2061300
195305,-0.011618257,-0.019087178,-0.00536525,146400
213,-0.005037783,0,-0.036407767,454500
224823,0.072955975,0.032704403,-0.071261682,4218200
205557,0.034280926,0.065426442,0.056537126,3067500
144180,0.028301887,0.011792453,-0.047191011,197100
218981,-0.151162791,-0.069767442,-0.011494253,301100
147387,0,0.101123596,0.126582278,582600
108301,-0.013090044,-0.0019833,0.007996761,842700
170479,-0.048394937,-0.046514922,0.031829345,3547800
175565,0,-0.002782931,0.012206573,249600
55468,-0.064788732,-0.056338028,-0.011142116,232100
144179,-0.008988764,-0.047191011,0.090686275,239400
143405,0.123076923,0.046153846,0,3458300
36379,0.057971014,0.144927536,-0.014285714,907500
81611,-0.004587156,-0.009174312,0,17100
4361,-0.035601266,-0.056962025,-0.01863354,168400
85285,-0.00744879,-0.045623836,0.017045455,308200
151256,-0.053658537,-0.02682922,0.017369727,444300
218343,0.002028398,-0.002028398,-0.020854022,48900
88907,0.056451613,0.064516129,-0.03875969,37500
185322,-0.111280099,-0.097845397,0.014138791,1320100
57479,0.05548854,-0.032569361,-0.002406739,177200
88715,0.029288703,0.020920502,-0.028455285,62600
222894,0,0.063218391,-0.005714286,24800
147028,-0.044444444,-0.044444444,0.022727273,575200
202561,-0.022679693,-0.033496127,-0.011724138,5122200
9734,-0.032997314,-0.044520124,0.012193586,390300
201639,-0.003322259,-0.019933555,-0.029032258,230700
166385,0.014234875,-0.005338078,-0.001776199,3329800
48432,0.014817822,-0.000800881,0.011340542,1416700
121416,0.023809524,0.023809524,-0.045454545,1771300
68132,0.095435685,0.026970954,0.034334808,722700
111174,0.050549451,0.08571433,-0.006550218,416900
174668,-0.006628819,0.003156597,-0.008140294,2620400
59914,0.011494253,0.034482759,-0.043956044,57400
174426,-0.012204216,-0.030325517,-0.016727236,412700
161117,0.047619048,0,0.037037037,633600
113526,0.157444005,0.256258235,0.015384615,3436100
211296,0.016304348,0.032608696,0,1151900
115242,0.006612785,-0.10286554,-0.020158387,169100
190995,0.033613445,0.018907563,-0.066666667,937400
27075,0.058282175,-0.023687781,-0.013615767,528400
27821,-0.018115942,-0.02173913,-0.041666667,647700
18565,0,-0.020224719,0.004514673,246600
151449,0.011111111,-0.019259304,-0.002217324,620300
172843,-0.016393443,-0.016393443,-0.089552239,416100
32528,0.014828545,0,-0.018198362,230800
178090,-0.096748612,-0.047581285,-0.058955224,5472300
173835,-0.039335127,-0.073130143,0.002777722,128500
17668,-0.004901961,0.020588235,-0.046728972,134900
103619,0.009230769,0.012307754,0.025236593,600800
211030,-0.01594533,0.031890661,-0.036576445,483300
152469,-0.106782107,-0.115440115,0.007267442,994900
195269,-0.050500214,-0.018342091,0.02017006,8908400
206994,0.075544174,0.087067862,0.049731183,1610700
13226,0.009803922,-0.068627451,-0.037735849,58000
54639,0.054466231,0.021786492,0.052752294,5322700
213076,-0.053311793,0.006462036,0.024834437,1760800
27074,0.050428642,-0.056816287,0.108234016,649900
163557,0.036386449,-0.007528231,0.021794872,454600
