USID,LatestCloseAsPercentOf10DayAverage,LatestCloseAsPercentOf10WeekAverage,LatestCloseAsPercentOf200DayAverage
111174,109.7532,111.2282,119.9403
174668,110.4197,118.7652,102.9673
59914,102.3622,102.4431,60.3606
174426,103.4788,87.1588,85.5632
161117,112.8134,118.3401,132.454
113526,108.0983,100.2783,110.7615
211296,112.1951,119.6707,134.6013
115242,107.3665,119.2732,103.8604
190995,111.4754,112.1508,92.2676
27075,115.001,113.127,117.3271
27821,111.0254,108.0813,78.9977
18565,104.3335,108.8509,105.8682
151449,105.8106,110.2871,126.9541
172843,105.3459,107.7797,93.11
32528,109.288,104.0259,56.5887
178090,117.0306,121.6112,112.3143
173835,105.7145,115.2306,114.7963
17668,108.3983,101.9203,90.8861
103619,107.167,93.4341,84.4986
211030,104.9278,92.5245,49.2856
152469,103.8961,123.2294,168.8913
195269,113.5486,110.6335,101.5458
206994,109.686,104.4819,49.1238
13226,107.5051,95.9368,87.9576
54639,110.3518,65.4278,52.9089
213076,105.2448,95.9411,72.1707
27074,105.526,102.4276,106.1254
163557,105.0505,101.9098,103.885
224595,107.8038,129.0945,147.431
82752,119.2146,133.4781,155.9365
116754,83.3333,96.5372,89.1525
168830,105.1235,105.0975,102.347
210902,103.7791,118.6369,117.5652
98079,90.0303,88.9943,79.8748
206528,106.0788,89.6356,59.9467
201209,115.5268,118.8721,103.5552
225399,107.3868,77.1609,20.3952
198365,105.0263,103.6547,91.7622
171720,79.8339,72.8276,71.9979
185923,115.9564,121.1287,154.2905
138139,99.3889,87.1624,86.8423
211295,102.2939,108.1967,120.9456
54437,108.0031,105.3387,84.8964
181998,106.7839,98.7395,80.0527
25285,100.7377,95.396,82.4156
218342,111.9651,115.3962,120.8854
147386,107.4627,114.17,93.3174
52194,106.2579,106.0986,96.5129
82,115.4564,128.5993,171.7892
224456,103.8021,113.1843,105.1827
223397,109.4329,113.7132,119.1228
198364,122.0442,118.4759,104.7132
222085,118.2541,112.5992,135.5113
101011,112.1231,162.242,264.5975
144178,98.5773,95.6704,79.5755
154585,100.575,87.1736,119.0946
200222,111.4324,104.7661,97.343
85704,114,110.7628,104.3976
90043,117.9379,131.1497,147.4444
185570,111.6526,114.683,147.8627
224822,114.7671,105.5781,97.3663
204548,111.078,115.4948,127.6305
195268,108.5968,103.5165,94.919
101010,103.4149,149.4616,239.9715
164261,106.8213,127.2389,168.0032
42046,110.5691,109.301,103.3429
198363,109.5596,101.0422,88.8038
205371,109.4539,112.4834,83.3821
92961,94.1606,94.6355,81.4919
134850,145.0549,237.7486,238.8955
91349,106.3398,101.7959,80.8976
34127,100.267,96.9639,101.6132
123814,99.2141,92.9567,79.7211
33656,85.5486,84.2032,110.1612
173223,100.2861,79.9339,79.3289
62900,106.3022,102.6769,84.8814
48431,114.2084,120.6821,100.2753
127423,96.6358,96.8567,94.396
2590,101.4945,80.0647,77.1505
214923,109.2035,105.5065,153.9827
5113,110.1148,108.059,81.5522
165850,92.0994,94.5173,109.927
85703,111.3402,105.0851,98.6763
134849,185.2076,284.0759,278.5793
164260,104.9605,124.961,162.4263
148854,102.2801,105.8621,107.5438
209876,99.7718,91.199,87.1179
204477,84.4105,72.3503,48.1313
172049,101.9935,93.9986,90.027
166384,97.7569,71.4148,71.3984
163261,101.3537,102.2438,137.2722
174154,105.7588,88.7024,58.1314
152468,112.6511,132.7121,176.7115
140345,99.7308,110.3893,163.1321
109401,108.6854,109.2305,132.4991
222084,113.8268,100.6426,120.9273
178089,113.8511,111.834,100.5239
145530,107.5861,111.4576,145.7128
48430,128.526,132.8824,110.1243
47327,105.8043,129.2477,162.0606
134848,153.9798,215.2618,203.8777
173247,101.6166,91.3652,85.8835
60975,103.115,90.5028,85.7116
174667,111.8589,113.8827,96.7746
39852,117.9989,130.1071,133.3489
101009,123.0661,176.4948,268.5637
85386,105.0776,80.6542,58.6459
157902,97.0242,92.2859,81.2578
27073,100.2736,98.4613,103.0757
212798,105.0442,118.485,112.3464
221122,87.5649,86.9145,114.8365
116732,112.5592,124.476,143.2807
101008,115.2457,164.7276,246.908
138138,91.2662,80.912,84.844
204547,111.4939,111.1578,122.5149
212934,106.9333,138.1012,131.3655
113110,91.4377,101.7874,153.3491
98419,94.3288,97.7782,83.4589
134847,143.4551,187.9056,174.4707
211162,91.8428,91.2125,102.4572
83402,91.7249,107.5023,105.1258
148553,92.5674,99.6334,94.9411
183125,108.9878,104.0758,88.5979
153525,88.9032,94.9087,92.2378
179543,91.0112,86.159,72.8607
156249,98.7654,97.5755,54.353
61247,115.7233,124.9584,133.4025
188764,90.5209,91.4066,88.2183
212,87.1821,88.3675,113.4712
223128,106.3111,93.261,93.4396
732,104.4957,102.2319,72.639
32481,103.6337,119.1955,143.8687
134846,176.9042,219.2666,200.7462
137675,119.4447,134.8359,203.1955
52186,97.9087,108.2049,118.5315
70016,83.6996,79.2658,72.0383
204176,111.1293,99.2544,105.397
147385,111.9632,118.5379,92.4367
210901,105.221,129.2434,120.2754
22644,107.703,95.1068,93.5832
198362,109.435,97.7697,86.3375
17605,91.0036,95.5947,99.8129
201304,118.7372,155.6195,172.5433
24833,86.8215,93.6589,109.2966
143402,87.6827,54.5662,36.1358
156248,111.1111,108.0954,59.8323
172841,112.013,109.3998,95.2012
134845,214.4152,245.9881,220.9535
171082,117.8487,119.8082,116.5404
204890,102.6634,97.1023,113.3917
107020,113.5601,106.3891,86.0174
174666,108.9792,110.2476,93.332
108023,168.264,206.6271,157.1078
183124,91.5633,86.4148,73.7879
142626,102.6624,109.8935,128.6263
193942,87.1426,81.3062,84.2439
