symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
GJR,"Synthetic Fixed-Income Securities, Inc.",20.39,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gjr,2697
GJT,"Synthetic Fixed-Income Securities, Inc.",18.364,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjt,2698
GJV,"Synthetic Fixed-Income Securities, Inc.",25.98,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gjv,2699
SYY,Sysco Corporation,52.54,28735770974.86,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/syy,2700
SYX,Systemax Inc.,8.2,302697202.6,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/syx,2701
DATA,"Tableau Software, Inc.",55.28,4206370790.48,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/data,2702
TAHO,"Tahoe Resources, Inc.",9.03,2811599139.93,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/taho,2703
TLRD,"Tailored Brands, Inc.",21.49,1047515544.25,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/tlrd,2704
TWN,"Taiwan Fund, Inc. (The)",16.8693,138738690.069,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/twn,2705
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,30.97,160612773720,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/tsm,2706
TAL,TAL Education Group,81.76,6612974948.16,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/tal,2707
TEGP,"Tallgrass Energy GP, LP",27.88,4383556787.2,n/a,2015,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/tegp,2708
TEP,"Tallgrass Energy Partners, LP",50.91,3671395268.55,n/a,2013,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/tep,2709
SKT,"Tanger Factory Outlet Centers, Inc.",34.1,3275961834.2,n/a,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/skt,2710
NGLS^A,Targa Resources Partners LP,27.5,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ngls^a,2711
TRGP,"Targa Resources, Inc.",60.9,11012392253.1,n/a,2010,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/trgp,2712
