symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
DGLY,"Digital Ally, Inc.",5.1,27432548.1,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dgly,818
APPS,"Digital Turbine, Inc.",0.69,45977464.14,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/apps,819
DCOM,"Dime Community Bancshares, Inc.",21.1,792175277.2,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/dcom,820
DMTX,"Dimension Therapeutics, Inc.",1.9,47582661.4,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dmtx,821
DIOD,Diodes Incorporated,25.43,1243581191.33,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/diod,822
DPRX,"Dipexium Pharmaceuticals, Inc.",1.35,14041514.7,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dprx,823
DISCA,"Discovery Communications, Inc.",28.09,11042874901.66,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disca,824
DISCB,"Discovery Communications, Inc.",29.1,11439930923.4,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/discb,825
DISCK,"Discovery Communications, Inc.",27.44,10787343798.56,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/disck,826
DISH,DISH Network Corporation,61.85,28762419079.5,n/a,1995,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dish,827
DVCR,Diversicare Healthcare Services Inc.,9.4547,60136572.0765,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/dvcr,828
SAUC,"Diversified Restaurant Holdings, Inc.",1.62,43206673.32,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sauc,829
DLHC,DLH Holdings Corp.,5.8,65201361.2,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/dlhc,830
BOOM,DMC Global Inc.,16.75,242577871.75,n/a,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/boom,831
DNBF,DNB Financial Corp,34.3494,145274982.2514,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/dnbf,832
DLTR,"Dollar Tree, Inc.",76.69,18104316969.73,n/a,1995,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dltr,833
DGICA,"Donegal Group, Inc.",16.55,443674948.7,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgica,834
DGICB,"Donegal Group, Inc.",16.2,434292094.8,n/a,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/dgicb,835
DMLP,"Dorchester Minerals, L.P.",16.85,516881012.35,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dmlp,836
DORM,"Dorman Products, Inc.",69.43,2403218568.21,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/dorm,837
EAGL,Double Eagle Acquisition Corp.,10.05,628125000,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eagl,838
EAGLU,Double Eagle Acquisition Corp.,10.575,0,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eaglu,839
EAGLW,Double Eagle Acquisition Corp.,0.55,0,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/eaglw,840
DRWI,DragonWave Inc,1.55,9461468.15,n/a,2009,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/drwi,841
DRYS,DryShips Inc.,4.18,17663802.2,n/a,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/drys,842
DSPG,"DSP Group, Inc.",10.15,219467684.8,n/a,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg,843
DLTH,Duluth Holdings Inc.,22.73,735900933.88,n/a,2015,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dlth,844
DNKN,"Dunkin&#39; Brands Group, Inc.",51.59,4732589974.42,n/a,2011,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dnkn,845
DRRX,DURECT Corporation,1.03,142739002.68,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/drrx,846
DXPE,"DXP Enterprises, Inc.",38.5,667454056.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dxpe,847
DYSL,Dynasil Corporation of America,1.39,23499708.35,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dysl,848
DYNT,Dynatronics Corporation,2.65,7638020.8,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/dynt,849
DVAX,Dynavax Technologies Corporation,4,154110640,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dvax,850
ETFC,E*TRADE Financial Corporation,34.77,9520452975.6,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/etfc,851
EBMT,"Eagle Bancorp Montana, Inc.",21.25,80313610,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebmt,852
EGBN,"Eagle Bancorp, Inc.",60.75,2043187132.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn,853
EGLE,Eagle Bulk Shipping Inc.,6.26,301148737.02,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/egle,854
EGRX,"Eagle Pharmaceuticals, Inc.",71.02,1099100406.56,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/egrx,855
IGLE,Eagleline Acquisition Corp.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/igle,856
ELNK,EarthLink Holdings Corp.,6.2,706800000,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/elnk,857
EWBC,"East West Bancorp, Inc.",52.72,7600334304.32,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ewbc,858
EACQ,Easterly Acquisition Corp.,9.9,247500000,n/a,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacq,859
EACQU,Easterly Acquisition Corp.,10.06,0,n/a,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacqu,860
EACQW,Easterly Acquisition Corp.,0.46,0,n/a,2015,Capital Goods,Building Products,http://www.nasdaq.com/symbol/eacqw,861
EML,Eastern Company (The),19.65,122896739.55,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/eml,862
EVBS,"Eastern Virginia Bankshares, Inc.",10.4,136412640,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbs,863
EVGBC,Eaton Vance NextShares Trust,100,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evgbc,864
EVSTC,Eaton Vance NextShares Trust,99.99,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evstc,865
EVLMC,Eaton Vance NextShares Trust II,100.06,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/evlmc,866
EBAY,eBay Inc.,32.07,35851900930.8,n/a,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebay,867
EBAYL,eBay Inc.,26.19,0,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ebayl,868
EBIX,"Ebix, Inc.",56.7,1837933731.9,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ebix,869
ELON,Echelon Corporation,4.8016,21279284.3312,n/a,1998,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/elon,870
ECHO,"Echo Global Logistics, Inc.",25,730658525,n/a,2009,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/echo,871
SATS,EchoStar Corporation,56.05,5274332576.6,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sats,872
EEI,"Ecology and Environment, Inc.",10.032,43078431.264,n/a,1987,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eei,873
ECAC,E-compass Acquisition Corp.,11,58410000,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/ecac,874
ECACR,E-compass Acquisition Corp.,0.99,0,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/ecacr,875
ECACU,E-compass Acquisition Corp.,10.801,0,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/ecacu,876
SBNYW,Signature Bank,120,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbnyw,877
ESES,"Eco-Stim Energy Solutions, Inc.",1.24,17876741.48,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/eses,878
EDAP,EDAP TMS S.A.,3.2299,93899794.9156,29072044,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/edap,879
EDGE,"Edge Therapeutics, Inc.",9.56,276450525.64,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/edge,880
EDGW,"Edgewater Technology, Inc.",6.69,86169581.64,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/edgw,881
EDIT,"Editas Medicine, Inc.",18.44,675935459.84,n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/edit,882
EDUC,Educational Development Corporation,7.4,30199932.8,n/a,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/educ,883
EGAN,eGain Corporation,2.1,56918129.1,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/egan,884
EGLT,Egalet Corporation,4.78,120404017.5,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eglt,885
EHTH,"eHealth, Inc.",11.56,212028098.36,n/a,2006,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ehth,886
EIGR,"Eiger BioPharmaceuticals, Inc.",11.9,99444242.1,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/eigr,887
EKSO,"Ekso Bionics Holdings, Inc.",4.09,89493122.31,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ekso,888
LOCO,"El Pollo Loco Holdings, Inc.",12.2,469380018.4,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/loco,889
EMITF,Elbit Imaging Ltd.,3.53,32443552.24,n/a,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/emitf,890
ESLT,Elbit Systems Ltd.,111.83,4780203879.59,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/eslt,891
ERI,"Eldorado Resorts, Inc.",16,753691904,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/eri,892
ESIO,"Electro Scientific Industries, Inc.",6.89,223677766.13,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio,893
EA,Electronic Arts Inc.,81.28,24526687771.52,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea,894
EFII,"Electronics for Imaging, Inc.",46.01,2151780358.67,n/a,1992,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii,895
ELSE,"Electro-Sensors, Inc.",4.3439,14749803.6719,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/else,896
ELEC,Electrum Special Acquisition Corporation,9.95,248750000,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elec,897
ELECU,Electrum Special Acquisition Corporation,10.3,257500000,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elecu,898
